1,Vaughan Metropolitan Centre
2,Highway 407
3,Pioneer Village
4,York University
5,Finch West
6,Downsview Park
7,Sheppard West
8,Wilson
9,Yorkdale
10,Lawrence West
11,Glencairn
12,St Clair West
13,Dupont
14,Spadina
15,Museum
16,Queens Park
17,St Patrick
18,Osgoode
19,St Andrew
20,Union
21,King
22,Queen
23,TMU
24,College
25,Wellesley
26,Rosedale
27,Summerhill
28,St Clair
29,Davisville
30,Eglinton
31,Lawrence
32,York Mills
33,Sheppard Yonge
34,North York Centre
